"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"2011","FOREST FIRE",29,0,0,0,1359889,0,11
"2011","HAILSTORM",30,1,0,183,1178560,3,13
"2011","HEAT WAVE",1,0,0,0,0,0,14
"2011","OTHER",1,2,0,8,0,200,18
"2011","PANIC",3,0,0,0,0,0,19
"2011","STRUCTURE",2,0,0,0,0,0,23
"2012","ANNIMAL ATTACK",1,0,0,0,0,0,1
"2012","CONTAMINATION",1,0,0,0,0,0,3
"2012","DROUGHT",21,0,0,0,0,0,4
"2012","ELECTRIC STORM",1,3,0,0,0,300,6
"2012","EPIDEMIC",14,15,0,424,0,107,7
"2012","FIRE",29,3,1,76,4368000,10,9
"2012","FLOOD",39,8,0,2655,8337820,21,10
"2012","FOREST FIRE",40,0,5,0,1617137,0,11
"2012","FROST",1,0,0,400,0,0,12
"2012","HAILSTORM",29,0,0,0,0,0,13
"2012","LANDSLIDE",9,0,111,0,0,0,17
"2012","PANIC",2,0,0,0,0,0,19
"2012","SNOWSTORM",22,7,0,360,1048053,32,20
"2012","STORM",7,0,0,76,160000,0,21
"2013","ANNIMAL ATTACK",1,0,0,0,0,0,1
"2013","CONTAMINATION",2,0,0,0,0,0,3
"2013","EARTHQUAKE",3,0,0,6,0,0,5
"2013","EPIDEMIC",3,1,0,105,0,33,7
"2013","EXPLOSION",2,0,0,0,0,0,8
"2013","FIRE",10,0,1,0,1440000,0,9
"2013","FLOOD",9,1,0,0,0,11,10
"2013","FOREST FIRE",4,0,0,0,0,0,11
"2013","HAILSTORM",9,0,0,0,0,0,13
"2013","INTOXICATION",1,0,0,58,0,0,16
"2013","OTHER",1,0,0,5,320,0,18
"2013","SNOWSTORM",2,0,0,0,0,0,20
"2013","STRONG WIND",22,0,0,0,0,0,22
