Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1994,DROUGHT,130,0,0,0,0,0,0,141766993
1994,EARTHQUAKE,1,0,0,0,0,0,0,0
1994,EPIDEMIC,1,0,0,0,0,36,0,0
1994,FOREST FIRE,7,0,0,0,0,0,0,0
1995,CONTAMINATION,1,0,0,0,0,0,0,0
1995,DROUGHT,18,0,0,0,0,0,0,16987713
1995,EARTHQUAKE,3,0,0,0,0,0,0,0
1995,EPIDEMIC,1,0,0,0,0,8,0,0
1995,EXPLOSION,1,0,0,0,0,220,0,0
1995,FLOOD,10,8,0,0,0,0,0,170922
1995,FOREST FIRE,1,0,0,0,0,0,0,0
1995,HEAT WAVE,1,0,0,0,0,0,0,0
1996,CONTAMINATION,2,0,0,0,0,0,0,50000
1996,DROUGHT,114,0,0,0,0,0,0,27517516
1996,EPIDEMIC,1,0,0,0,0,9,0,0
1996,FIRE,2,0,0,0,0,0,0,400000
1996,FOREST FIRE,2,0,0,0,0,0,0,0
1997,DROUGHT,7,0,0,0,0,0,0,10559997
1997,EPIDEMIC,19,40,0,0,229,699,0,0
1997,FIRE,1,0,0,0,0,0,0,200000
1997,FLOOD,6,0,0,0,0,0,0,302342
1997,INTOXICATION,1,0,0,0,0,21,0,0
1998,EPIDEMIC,1,0,0,0,0,6,0,0
1998,FOREST FIRE,1,0,0,0,0,0,0,0
1999,CONTAMINATION,1,0,0,0,0,0,0,0
1999,DROUGHT,139,0,0,0,0,0,11230261,55675977
1999,EPIDEMIC,1,0,0,0,0,3,0,0
1999,FLOOD,1,0,0,0,0,0,0,87715
2000,DROUGHT,112,0,0,0,0,0,9498270,100688141
2000,EPIDEMIC,1,0,0,0,0,42,0,0
2000,FIRE,1,0,0,0,0,0,0,0
2000,FLOOD,7,0,0,0,0,0,0,0
2000,FOREST FIRE,5,0,0,0,0,0,0,0
2001,CONTAMINATION,4,0,0,0,0,0,0,0
2001,DROUGHT,165,0,0,0,0,0,0,166881661
2001,EPIDEMIC,1,0,0,0,0,206,0,0
2001,FIRE,1,0,0,1,0,0,0,0
2001,FLOOD,1,0,0,0,0,0,0,0
2001,FOREST FIRE,2,0,0,0,0,0,0,0
2001,STRUCTURE,1,0,0,0,0,0,0,0
2002,CONTAMINATION,1,0,0,0,0,0,0,0
2002,EARTHQUAKE,2,0,0,0,0,0,0,0
2002,EPIDEMIC,1,0,0,0,0,496,0,0
2002,FLOOD,1,13,0,0,0,0,0,1235000
2002,FOREST FIRE,2,0,0,0,0,0,0,0
2003,CONTAMINATION,3,0,0,0,0,0,0,0
2003,EARTHQUAKE,1,0,0,0,0,0,0,0
2003,EPIDEMIC,19,39,0,0,245,1032,0,0
2003,EXPLOSION,1,0,0,0,0,0,0,0
2003,FLOOD,35,7,0,350,0,5005,0,126000008
2003,SNOWSTORM,2,0,0,0,0,0,0,0
2004,ANNIMAL ATTACK,17,0,0,0,0,0,0,0
2004,DROUGHT,8,0,0,0,0,0,13481424,22628568
2004,EPIDEMIC,1,0,0,0,0,830,0,0
2004,FIRE,2,0,0,0,0,30,0,0
2004,FLOOD,6,0,0,13,0,0,0,0
2004,FOREST FIRE,1,0,0,0,0,0,0,0
2004,INTOXICATION,1,0,0,0,0,9,0,0
2004,STRONG WIND,5,3,1,16,0,0,0,0
2005,CONTAMINATION,3,0,0,0,0,0,0,0
2005,EPIDEMIC,1,0,0,0,0,538,0,0
2005,FIRE,3,2,0,0,0,0,0,700000
2005,FLOOD,15,0,0,0,0,2,0,0
2005,FOREST FIRE,1,0,0,0,0,0,0,0
2005,HAILSTORM,4,0,0,0,0,0,0,0
2005,LANDSLIDE,2,0,0,0,0,0,0,0
2005,SNOWSTORM,3,0,0,0,0,0,0,0
2005,STRONG WIND,1,0,0,0,0,0,0,0
2006,CONTAMINATION,6,0,0,0,0,0,0,0
2006,EPIDEMIC,1,0,0,0,0,278,0,0
2006,EXPLOSION,2,0,0,0,0,0,0,0
2006,FIRE,1,0,0,0,0,0,0,700000
2006,FLOOD,9,0,0,22,0,0,0,886068
2006,HURRICANE,1,0,0,0,0,0,0,0
2006,INTOXICATION,1,0,0,0,0,0,0,0
2006,LANDSLIDE,1,0,5,21,0,0,0,0
2006,STRUCTURE,1,8,0,0,0,0,0,0
2007,CONTAMINATION,3,0,0,0,0,0,0,0
2007,DROUGHT,108,0,0,0,0,0,2003089,22216908
2007,EPIDEMIC,1,0,0,0,0,145,0,0
2007,FIRE,3,0,0,0,0,0,0,200000
2007,FLOOD,13,13,0,348,0,0,0,45000
2007,FOREST FIRE,6,0,0,0,0,0,0,0
2007,HAILSTORM,1,0,0,0,0,0,0,0
2007,INTOXICATION,1,3,0,0,0,0,0,0
2007,PANIC,1,6,0,0,0,0,0,0
2008,CONTAMINATION,2,0,0,0,0,0,0,0
2008,DROUGHT,17,0,0,0,0,0,0,37962442
2008,EPIDEMIC,1,0,0,0,0,64,0,0
2008,FIRE,3,1,0,2,0,14,0,300000
2008,FLOOD,2,0,0,0,0,0,0,225000
2008,FOREST FIRE,4,0,0,0,0,0,0,0
2008,HAILSTORM,2,0,0,0,0,0,0,400000
2008,STORM,1,0,0,0,0,0,0,0
2009,BIOLOGICAL,1,0,0,0,0,0,0,0
2009,DROUGHT,134,0,0,0,0,0,0,96607995
2009,EPIDEMIC,29,66,0,0,700,4007,0,100000
2009,FIRE,3,1,0,0,0,0,0,0
2009,FLOOD,54,29,0,3761,36,51,14284978,23177376
2009,FOREST FIRE,1,0,0,0,0,0,0,0
2009,HAILSTORM,2,0,0,0,0,0,0,0
2009,STRONG WIND,2,0,0,50,27,27,0,0
2009,STRUCTURE,2,10,0,0,0,0,0,0
2010,CONTAMINATION,5,0,0,0,0,0,0,0
2010,DROUGHT,3,0,0,0,0,0,0,6480000
2010,EARTHQUAKE,1,0,0,0,0,0,0,0
2010,EPIDEMIC,10,6,0,0,297,363,61633,100000
2010,FIRE,2,0,0,0,0,0,0,0
2010,FLOOD,8,0,0,0,49,0,0,1613515
2010,FOREST FIRE,5,0,0,0,0,0,639136,1037000
2010,HAILSTORM,1,0,0,0,0,0,0,0
2010,INTOXICATION,1,0,0,0,0,30,0,0
2011,CONTAMINATION,2,0,0,0,0,0,0,0
2011,EPIDEMIC,1,0,0,0,0,100,0,0
2011,EXPLOSION,1,2,0,0,0,0,0,0
2011,FIRE,8,40,0,0,127,127,1030358,3666000
2011,FLOOD,68,8,0,156,0,0,0,32858105
2011,FOREST FIRE,29,0,0,0,0,0,869857,1531350
2011,HAILSTORM,30,1,0,0,181,2,0,3683000
2011,HEAT WAVE,1,0,0,0,0,0,0,0
2011,OTHER,1,2,0,0,4,4,0,0
2011,PANIC,3,0,0,0,0,0,0,0
2011,STRUCTURE,2,0,0,0,0,0,0,0
2012,ANNIMAL ATTACK,1,0,0,0,0,0,0,0
2012,CONTAMINATION,1,0,0,0,0,0,0,0
2012,DROUGHT,21,0,0,0,0,0,0,0
2012,ELECTRIC STORM,1,3,0,0,0,0,0,0
2012,EPIDEMIC,14,15,0,0,30,394,0,0
2012,FIRE,29,3,1,0,34,42,0,13650000
2012,FLOOD,39,8,0,0,95,2560,0,26055688.95
2012,FOREST FIRE,40,0,5,0,0,0,941438,2111562
2012,FROST,1,0,0,0,200,200,0,0
2012,HAILSTORM,29,0,0,0,0,0,0,0
2012,LANDSLIDE,9,0,22,89,0,0,0,0
2012,PANIC,2,0,0,0,0,0,0,0
2012,SNOWSTORM,22,7,0,0,0,360,0,3275167.5
2012,STORM,7,0,0,0,76,0,0,500000
2013,ANNIMAL ATTACK,1,0,0,0,0,0,0,0
2013,CONTAMINATION,2,0,0,0,0,0,0,0
2013,EARTHQUAKE,3,0,0,0,0,6,0,0
2013,EPIDEMIC,3,1,0,0,32,73,0,0
2013,EXPLOSION,2,0,0,0,0,0,0,0
2013,FIRE,10,0,1,0,0,0,0,4500000
2013,FLOOD,9,1,0,0,0,0,0,0
2013,FOREST FIRE,4,0,0,0,0,0,0,0
2013,HAILSTORM,9,0,0,0,0,0,0,0
2013,INTOXICATION,1,0,0,0,0,58,0,0
2013,OTHER,1,0,0,0,0,5,0,1000
2013,SNOWSTORM,2,0,0,0,0,0,0,0
2013,STRONG WIND,22,0,0,0,0,0,0,0
TOTAL,,2167,541,17821,24728,29652,112839,69690878,1032736884
