"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1988","EARTHQUAKE",2,4,3495,0,0,200,8
"1988","FIRE",5,0,107,18,0,0,11
"1988","FLOOD",19,4,307,2493,0,21,12
"1988","FOREST FIRE",82,0,0,0,465164139,0,14
"1988","HEAVY RAIN",14,0,1201,0,0,0,18
"1988","LANDSLIDE",150,66,2954,12795,0,44,20
"1988","NUCLEAR ACCIDENTS",1,0,0,0,0,0,24
"1988","ROCKSLIDE",30,4,470,2904,0,13,27
"1989","AVALANCHE",2,0,0,198,0,0,3
"1989","FIRE",7,0,77,0,0,0,11
"1989","FLOOD",10,0,364,2142,0,0,12
"1989","FOREST FIRE",89,0,0,0,1045811637,0,14
"1989","HEAVY RAIN",1,0,10,0,0,0,18
"1989","LANDSLIDE",93,0,2267,15091,0,0,20
"1989","ROCKSLIDE",13,0,236,1383,0,0,27
"1990","AVALANCHE",7,2,29,991,0,29,3
"1990","FIRE",22,0,227,0,0,0,11
"1990","FLOOD",10,1,212,1796,0,10,12
"1990","FOREST FIRE",77,0,0,0,712833751,0,14
"1990","HEAVY RAIN",2,0,13,0,0,0,18
"1990","LANDSLIDE",47,0,1111,6711,0,0,20
"1990","MINING ACCIDENTS",1,68,0,0,0,6800,22
"1990","ROCKSLIDE",12,0,219,1324,0,0,27
"1990","TRAIN ACCIDENT",1,2,0,0,0,200,35
"1991","AVALANCHE",3,0,10,349,0,0,3
"1991","FIRE",21,0,203,263,0,0,11
"1991","FLOOD",5,0,57,348,0,0,12
"1991","FOREST FIRE",44,0,0,0,694524544,0,14
"1991","HEAVY RAIN",5,0,149,0,0,0,18
"1991","LANDSLIDE",17,0,277,1530,0,0,20
"1991","ROCKSLIDE",7,0,98,443,0,0,27
"1991","STORM",1,0,5,0,0,0,30
"1992","AVALANCHE",29,31,350,4605,0,107,3
"1992","EARTHQUAKE",1,653,31194,0,1812078587,65300,8
"1992","FIRE",13,1,301,0,0,8,11
"1992","FLOOD",10,0,481,3301,0,0,12
"1992","FOREST FIRE",85,0,0,0,1812078587,0,14
"1992","HEAVY RAIN",2,0,93,0,0,0,18
"1992","LANDSLIDE",30,0,600,3759,0,0,20
"1992","MINING ACCIDENTS",1,263,0,0,0,26300,22
"1992","OTHER",1,31,0,0,0,3100,25
"1992","ROCKSLIDE",18,0,374,2045,0,0,27
"1992","STORM",1,0,10,0,0,0,30
"1993","AVALANCHE",24,63,181,2659,0,262,3
"1993","FIRE",11,0,131,0,0,0,11
"1993","FLOOD",8,0,191,1311,0,0,12
"1993","FOREST FIRE",92,0,0,0,1812078587,0,14
"1993","HEAVY RAIN",1,0,11,0,0,0,18
