"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1977","LEAK",2,2,0,0,0,100,23
"1977","COLD WAVE",2,23,0,0,0,1150,6
"1977","PANIC",2,0,0,0,0,0,26
"1977","PLAGUE",10,0,0,0,30007800,0,27
"1977","POLLUTION",27,0,0,0,120000,0,28
"1977","RATIONING",26,0,0,0,0,0,30
"1977","RAIN",49,5,0,1000,0,10,29
"1977","SNOWSTORM",3,0,0,0,0,0,33
"1977","STORM",26,2,240,1000,2418000,8,35
"1977","STRONGWIND",22,0,40,0,3015000,0,36
"1977","STRUCTURE",4,2,1,0,4800,50,37
"1977","SURGE",1,10,0,0,0,1000,38
"1978","ACCIDENT",8,23,0,0,468000,288,1
"1978","BIOLOGICAL",7,0,0,0,0,0,4
"1978","DROUGHT",94,0,0,40000,259559640,0,7
"1978","EARTHQUAKE",3,1,23,0,0,33,8
"1978","ELECTRICSTORM",1,4,0,0,0,400,9
"1978","EPIDEMIC",9,406,0,0,0,4511,10
"1978","EXPLOSION",22,56,24,0,1458000,255,12
"1978","FIRE",70,69,91,50882,42525420,99,14
"1978","FLOOD",52,58,20493,205250,9723600,112,15
"1978","FORESTFIRE",12,0,20,80,429000,0,17
"1978","FROST",14,5,0,0,21600,36,18
"1978","HAILSTORM",1,0,0,0,0,0,19
"1978","HEATWAVE",1,100,0,0,0,10000,20
"1978","INTOXICATION",15,21,0,0,0,140,21
"1978","LANDSLIDE",6,25,0,0,0,417,22
"1978","LEAK",2,0,0,0,0,0,23
"1978","COLD WAVE",3,28,0,0,0,933,6
"1978","PLAGUE",5,0,0,5000,37800,0,27
"1978","POLLUTION",4,31,0,0,371400,775,28
"1978","RAIN",9,1,400,1000,0,11,29
"1978","SNOWSTORM",12,0,0,0,45000,0,33
"1978","SPATE",2,11,0,0,0,550,34
"1978","STORM",15,14,1153,26960,300000,93,35
"1978","STRONGWIND",9,7,20,0,0,78,36
"1978","STRUCTURE",5,11,4,4,0,220,37
"1978","SURGE",32,0,0,0,0,0,38
"1979","ACCIDENT",13,121,3,365,60900000,931,1
"1979","BIOLOGICAL",5,6,0,20000,1260000,120,4
"1979","DROUGHT",67,0,32,528500,285954900,0,7
"1979","EARTHQUAKE",16,9,1938,66000,300000,56,8
"1979","ELECTRICSTORM",4,0,0,0,24000000,0,9
"1979","EPIDEMIC",54,0,0,0,0,0,10
"1979","EXPLOSION",23,23,4,207,3442800,100,12
"1979","FIRE",78,45,91,66033,54391200,58,14
"1979","FLOOD",83,98,17761,1347480,109020000,118,15
"1979","FORESTFIRE",22,5,0,1846,270000,23,17
"1979","FROST",46,4,0,48330,93768000,9,18
"1979","HAILSTORM",9,1,430,12500,60000,11,19
"1979","HEATWAVE",11,36,0,400000,0,327,20
"1979","INTOXICATION",8,12,0,38,0,150,21
"1979","LANDSLIDE",11,27,160,100612,0,245,22
"1979","LEAK",16,10,0,31000,51302400,62,23
"1979","COLD WAVE",4,17,0,51,0,425,6
"1979","PLAGUE",22,0,0,0,27900000,0,27
"1979","POLLUTION",36,0,0,30000,2160000,0,28
"1979","RATIONING",1,22,0,0,0,2200,30
"1979","RAIN",7,12,33,1001,0,171,29
"1979","SNOWSTORM",25,24,7,16724,0,96,33
"1979","SPATE",3,8,0,100000,30000,267,34
"1979","STORM",5,10,27,60000,0,200,35
"1979","STRONGWIND",28,6,538,3000,150000,21,36
"1979","STRUCTURE",10,9,10,710,12000,90,37
"1979","SURGE",28,3,0,7,0,11,38
"1980","ACCIDENT",1,2,0,0,0,200,1
"1980","BIOLOGICAL",6,0,0,2000,0,0,4
"1980","DROUGHT",303,0,0,15750,0,0,7
"1980","EARTHQUAKE",12,129,10549,50000,0,1075,8
"1980","ELECTRICSTORM",1,4,0,0,0,400,9
"1980","EPIDEMIC",18,0,0,0,420000,0,10
"1980","EXPLOSION",22,31,16,5450,9000000,141,12
"1980","FIRE",62,28,65,284,69699000,45,14
"1980","FLOOD",38,35,3364,134300,135000000,92,15
"1980","FORESTFIRE",5,0,0,0,0,0,17
"1980","FROST",14,13,0,38400,180000,93,18
"1980","HAILSTORM",3,0,0,7000,0,0,19
"1980","HEATWAVE",11,30,0,0,0,273,20
"1980","INTOXICATION",10,32,0,0,0,320,21
"1980","LANDSLIDE",5,8,1,110,0,160,22
"1980","LEAK",4,0,0,7,0,0,23
"1980","PLAGUE",4,0,0,0,3000000,0,27
"1980","POLLUTION",2,0,0,0,0,0,28
"1980","RAIN",6,26,0,100000,30000,433,29
"1980","SNOWSTORM",2,0,0,33000,0,0,33
"1980","STORM",8,0,115,0,0,0,35
"1980","STRONGWIND",1,0,0,0,0,0,36
"1980","STRUCTURE",2,3,0,0,0,150,37
"1981","ACCIDENT",2,0,0,0,0,0,1
"1981","DROUGHT",8,0,0,175000,0,0,7
"1981","EARTHQUAKE",13,0,3140,1000242,0,0,8
"1981","EPIDEMIC",14,0,0,0,0,0,10
"1981","EXPLOSION",13,9,4,0,120000,69,12
"1981","FIRE",33,16,80,397,24204000,48,14
"1981","FLOOD",85,104,18484,1329966,56400000,122,15
"1981","FORESTFIRE",8,0,0,0,0,0,17
"1981","FROST",6,0,0,0,0,0,18
"1981","HAILSTORM",5,1,0,0,0,20,19
"1981","HEATWAVE",11,65,0,0,720000,591,20
"1981","INTOXICATION",1,2,0,0,0,200,21
"1981","LEAK",3,3,0,300,0,100,23
"1981","PANIC",1,0,0,0,0,0,26
"1981","PLAGUE",17,0,0,5000,240000,0,27
"1981","POLLUTION",1,0,0,0,1800000,0,28
"1981","RAIN",1,0,0,0,0,0,29
"1981","SNOWSTORM",5,0,0,0,0,0,33
"1981","STORM",39,82,1409,60500,2100000,210,35
"1981","STRONGWIND",13,4,0,400,0,31,36
"1981","SURGE",4,0,100,600,0,0,38
"1982","ACCIDENT",3,124,0,0,13800000,4133,1
"1982","BIOLOGICAL",4,0,0,0,0,0,4
"1982","DROUGHT",104,0,0,0,8880,0,7
"1982","EARTHQUAKE",17,6,292,24000,0,35,8
"1982","EPIDEMIC",29,15,0,0,0,52,10
"1982","ERUPTION",53,2028,16089,12165,0,3826,11
"1982","EXPLOSION",17,40,27,0,0,235,12
"1982","FIRE",63,34,51,204,31010100,54,14
"1982","FLOOD",69,25,5713,1455000,3322200,36,15
"1982","FORESTFIRE",14,1,0,0,300000,7,17
"1982","FROST",10,10,0,21500,24000,100,18
"1982","HAILSTORM",2,2,0,6000,630000,100,19
"1982","HEATWAVE",25,123,0,0,186217,492,20
"1982","SINKING",1,0,0,0,0,0,32
"1982","INTOXICATION",6,3,0,0,0,50,21
"1982","LANDSLIDE",4,29,23,1000,0,725,22
"1982","LEAK",1,0,0,0,0,0,23
"1982","PLAGUE",33,0,0,0,156003000,0,27
"1982","POLLUTION",31,0,0,0,0,0,28
"1982","RAIN",4,2,1,0,0,50,29
"1982","SNOWSTORM",6,9,0,0,0,150,33
"1982","SPATE",1,0,0,0,0,0,34
"1982","STORM",15,9,167,108400,0,60,35
"1982","STRONGWIND",3,0,0,0,0,0,36
"1982","STRUCTURE",6,16,0,0,0,267,37
"1982","SURGE",5,11,0,30000,1500000,220,38
"1983","ACCIDENT",5,12,0,0,480000,240,1
"1983","BIOLOGICAL",18,0,0,2000,6000000,0,4
"1983","DROUGHT",31,5,0,0,42000000,16,7
"1983","EARTHQUAKE",5,0,261,0,0,0,8
"1983","ELECTRICSTORM",1,2,0,0,0,200,9
"1983","EPIDEMIC",19,19,0,0,0,100,10
"1983","EXPLOSION",29,96,350,10,2130000,331,12
"1983","FIRE",55,12,157,519,117244200,22,14
"1983","FLOOD",80,25,3734,178588,207720000,31,15
"1983","FORESTFIRE",20,0,510,5600,6000000,0,17
"1983","FROST",8,11,0,0,27000000,138,18
"1983","HAILSTORM",5,0,101,0,0,0,19
"1983","HEATWAVE",18,72,0,0,0,400,20
"1983","INTOXICATION",5,6,0,0,0,120,21
"1983","LANDSLIDE",7,16,816,300,360000,229,22
"1983","LEAK",6,11,0,25000,0,183,23
"1983","COLD WAVE",2,10,0,0,0,500,6
"1983","PLAGUE",37,0,0,700,0,0,27
"1983","POLLUTION",8,0,0,4,0,0,28
"1983","RAIN",22,10,1317,1865000,88320900,45,29
"1983","SNOWSTORM",29,7,0,1500,24000,24,33
"1983","STORM",24,9,147,2230,89400000,38,35
"1983","STRONGWIND",39,12,334,21328,1362000,31,36
"1983","STRUCTURE",2,2,0,0,1800000,100,37
"1983","SURGE",5,4,1,500000,108600000,80,38
"1984","ACCIDENT",2,14,0,0,0,700,1
"1984","BIOLOGICAL",1,0,0,0,31320000,0,4
"1984","DROUGHT",3,0,0,2000,34740000,0,7
"1984","EARTHQUAKE",3,0,2000,0,0,0,8
"1984","ELECTRICSTORM",1,6,0,0,0,600,9
"1984","EPIDEMIC",4,3,0,0,0,75,10
"1984","EXPLOSION",20,19,22,0,7800000,95,12
"1984","FIRE",76,570,2164,531971,209910000,750,14
"1984","FLOOD",86,88,12333,107920,45420000,102,15
"1984","FORESTFIRE",15,2,80,0,18000000,13,17
"1984","FROST",5,7,0,0,576000,140,18
"1984","HEATWAVE",22,1,0,0,18000000,5,20
