Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
2008,SAND STORM,2,0,0,0,0,0,0,0
2008,THUNDER STORM,2,10,0,0,0,0,0,0
2009,ACCIDENT,1,0,0,0,0,0,0,0
2009,EARTHQUAKE,1,0,0,0,0,0,0,0
2009,EPIDEMIC,1299,597,0,0,0,0,0,0
2009,FLOOD,3,1,4,21,0,0,0,0
2009,LANDSLIDE,4,13,3,0,11,0,0,0
2009,LIQUEFACTION,20,6,16,13,0,11,0,0
2009,STRUCTURAL COLLAPSE,1,0,2,0,0,0,0,0
2010,BIOLOGICAL,1,0,0,0,0,0,0,0
2010,COASTAL EROSION,1,1,0,0,0,0,0,0
2010,Cyclone,1,2,64,0,0,0,0,0
2010,EARTHQUAKE,2,0,0,0,0,0,0,0
2010,EPIDEMIC,86,11,0,0,10,732,0,0
2010,FLOOD,4,6,1,0,3,3,0,0
2010,LANDSLIDE,8,9,12,23,7,0,0,120000000
2010,LIQUEFACTION,68,78,6,164,0,0,0,51000000
2010,RAINS,8,8,1,0,0,0,0,0
2010,STRUCTURAL COLLAPSE,3,10,3,0,10,0,0,0
2010,SURGE,1,0,0,0,0,0,0,0
2010,THUNDER STORM,4,10,0,0,0,0,0,0
2010,TORNADO,1,0,0,0,0,0,0,0
2021,EPIDEMIC,3,0,0,0,0,0,0,0
2022,ACCIDENT,429,246,0,0,17,0,0,0
2022,armed conflict,14,14,0,0,0,0,0,0
2022,Asphyxia,1,2,0,0,0,0,0,0
2022,Dropp off,1,1,0,0,0,0,0,0
2022,EPIDEMIC,127,16,0,0,341,0,0,0
2022,EXPLOSION,39,48,0,0,0,0,0,0
2022,fall into a well,2,2,0,0,0,0,0,0
2022,FIRE,5,2,0,0,0,0,0,0
2022,FLOOD,15,4,0,0,7,0,0,0
2022,gunshot,54,32,0,0,0,0,0,0
2022,projectile,10,4,0,0,4,0,0,0
2022,RAINS,9,21,1,0,0,0,0,0
2022,rock collapse,2,1,0,0,0,0,0,0
2022,Sinking,7,16,0,0,0,0,0,0
2022,STORM,1,1,0,0,0,0,0,0
2022,THUNDER STORM,3,5,0,0,0,0,0,0
2022,war,5,7,0,0,0,0,0,0
2023,ACCIDENT,181,153,0,0,7,0,0,0
2023,armed conflict,1,1,0,0,0,0,0,0
2023,EPIDEMIC,5,6,2,16,0,99,0,0
2023,EXPLOSION,2,16,0,0,0,0,0,0
2023,FLOOD,5,2,0,0,0,0,0,0
2023,gunshot,4,2,0,0,0,0,0,0
2023,war,1,1,0,0,0,0,0,0
TOTAL,,7082,7754,12701,34830,3369,27186,,25770577599
