Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1987,LANDSLIDE,1,4,0,0,0,0,0,0
1988,DROUGHT,3,0,0,0,0,168302,0,0
1988,FLOOD,1,0,0,0,0,1300,0,0
1988,VERMIN INFESTATION,2,0,0,0,0,15028,0,0
1989,DROUGHT,1,0,0,0,0,161569,0,0
1989,FLOOD,5,15,0,0,0,108323,0,0
1989,LANDSLIDE,1,4,0,0,0,0,0,0
1989,STORM,1,7,0,0,0,0,0,0
1989,VERMIN INFESTATION,1,7,0,0,0,6000,0,0
1990,FLOOD,1,0,0,0,0,142000,0,0
1990,VERMIN INFESTATION,1,0,0,0,0,225000,0,0
1991,EPIDEMIC,1,54,0,0,0,210513,0,0
1994,CYCLONE,1,0,0,0,0,0,0,1267000
1994,FIRE,1,43,0,0,0,0,0,0
1995,CYCLONE,1,0,0,0,0,0,0,90000
1996,FLOOD,1,0,0,0,0,45,0,38000000
1997,EPIDEMIC,1,23,0,0,0,136,0,0
1997,FLOOD,1,0,8,0,0,300,0,18000000
1997,FOREST FIRE,1,0,0,0,0,0,0,4600000
1998,CYCLONE,1,0,0,0,0,0,0,2000000
1998,FLOOD,1,66,0,0,0,0,0,0
1999,MARINE ACCIDENT,1,833,0,0,0,110,0,0
2000,CONFLICT,1,27,54,0,0,0,0,0
2000,DROUGHT,1,0,0,0,0,0,0,0
2000,FLOOD,2,32,86,320,0,3490,0,0
2000,VERMIN INFESTATION,1,0,0,0,0,120737,0,599375000
2000,WILD ANIMALS,2,2,0,0,160,160,65780.9345,52788425
2001,EARTHQUAKE,2,0,7,148,0,7086,0,0
2001,FLOOD,2,19,0,32,0,406,0,10553500
2001,MARINE ACCIDENT,1,20,0,0,0,0,0,0
2001,RAINS,1,0,4,1,861,861,65667.6084,53460000
2001,VERMIN INFESTATION,1,0,0,0,0,76420,0,3521625000
2002,EARTHQUAKE,1,2,690,636,0,7956,0,0
2002,EPIDEMIC,16,0,0,0,0,23,0,0
2002,FLOOD,1,0,0,20,0,165,0,6200000
2002,MARINE ACCIDENT,1,13,0,0,0,39,0,0
2002,MINE ACCIDENT,1,39,0,0,0,0,0,0
2002,RAINS,1,0,3,4,35,35,0,189967431
2002,TRAIN ACCIDENT,1,283,0,0,0,0,0,0
2003,CYCLONE,1,2,0,13,0,0,0,20000000
2003,DROUGHT,1,0,0,0,0,316521,0,0
2003,EPIDEMIC,18,0,0,0,0,99,0,0
2003,FOREST FIRE,1,0,0,0,0,0,0,3000000
2003,RAINS,1,3,0,0,4,4,0,0
2003,VERMIN INFESTATION,1,0,0,0,0,160000,0,174000000
2004,EARTHQUAKE,1,13,0,0,0,0,0,0
2004,EPIDEMIC,5,0,0,0,0,23,0,0
2004,FLOOD,1,0,192,0,0,0,0,0
2004,VERMIN INFESTATION,1,0,0,0,0,255000,0,12675000000
2004,WILD ANIMALS,1,0,0,0,120,120,42310.635,55300000
2004,WINDSTORM,1,0,0,97,0,0,0,15000000
2005,DROUGHT,1,0,0,0,0,0,0,361000000
2005,EPIDEMIC,8,0,0,0,0,14,0,0
2005,FLOOD,1,2,19,71,450,450,0,0
2005,FOREST FIRE,2,0,0,0,0,14,0,30750000
2005,INSECT INFESTATION,1,0,0,0,0,321000,0,3496750000
2005,WILD ANIMALS,1,0,0,0,375,375,42240.2942,51692350
2006,CYCLONE,1,0,0,0,0,230,0,97722000
2006,DROUGHT,1,0,0,0,0,0,0,0
2006,EPIDEMIC,28,2,0,0,0,316,0,0
2006,FLOOD,1,0,7,0,42,42,0,0
2006,RAINS,1,0,5,4,365,365,14124.355,17767.45
2006,Strong winds,1,0,0,5,0,25,0,0
2006,WILD ANIMALS,2,1,0,0,150,150,12551.8828,14236676
2007,DROUGHT,1,0,0,0,0,0,0,0
2007,FIRE,1,0,20,0,92,92,5868.5,7567500
2007,FLOOD,4,7,80,61,967,0,0,0
2007,HAILSTORM,1,0,0,829,0,4438,0,0
2007,HEAVY RAINFALL & STRONG WINDS,3,0,0,236,1180,1015,133061.858,174481250
2007,MARINE ACCIDENT,7,32,0,0,35,11,0,0
2007,Strong winds,2,0,0,16,56,70,1618.4225,3720000
2008,DROUGHT,2,0,0,0,0,0,0,0
2008,FIRE,20,0,3,9,208,218,0,0
2008,FLOOD,3,74,0,18,90,2455,0,0
2008,MARINE ACCIDENT,7,7,0,0,31,0,0,0
2008,Strong winds,2,0,0,8,36,40,5573.3855,7120000
2008,VOLCANO,1,0,0,0,0,0,0,0
2009,DROUGHT,1,0,0,0,0,0,0,0
2009,EXPLOSION,2,26,0,9519,12647,22351,375741.0227,496884550
2009,FIRE,2,12,0,0,0,0,0,0
2009,FLOOD,5,2,70,12184,32131,57768,4032.968,5250000
2009,HEAVY RAINFALL & STRONG WINDS,1,0,0,54,0,197,6689.8,10024666
2009,LANDSLIDE,1,24,0,0,0,0,0,0
2009,Lightning,1,3,0,0,0,0,0,0
2009,MARINE ACCIDENT,9,23,0,0,23,27,0,0
2009,MINE ACCIDENT,1,7,0,0,0,3,0,0
2010,CYCLONE,1,0,0,50,0,235,1498.5,164912955
2010,DROUGHT,1,0,0,0,0,0,0,0
2010,FIRE,2,0,0,0,0,0,0,0
2010,FLOOD,3,0,0,6203,0,2695,5997.677,8886600
2010,Lightning,1,2,0,0,2,2,0,0
2010,MARINE ACCIDENT,9,195,0,0,10,1,0,0
2010,RAINS,3,653,20,100,3490,3590,118495.7738,174249844
2010,Strong winds,3,0,0,14,38,52,19612.4369,28169820
2010,THUNDERSTORM,1,1,0,0,1,0,0,0
2011,DROUGHT,1,0,0,0,0,0,0,0
2011,EXPLOSION,1,30,0,1693,0,0,0,0
2011,FIRE,5,0,33,1,1,6,7166.1835,111836500
2011,FLOOD,10,122,856,1028,4979,16622,1033734.787,1709000000
2011,HEAVY RAINFALL & STRONG WINDS,3,0,0,133,0,519,1390.88,2267125
2011,Lightning,3,6,0,0,0,0,5234.329,8400000
2011,MARINE ACCIDENT,13,172,0,0,26,839,0,0
2011,PEST INFESTATION,1,0,0,0,918,918,0,0
2011,RAINS,8,0,129,463,10706,11260,3120204.043,5126960455
2011,Strong winds,7,0,64,340,79,1602,43010.3304,70018000
2012,ACCIDENT,1,0,0,0,0,0,0,0
2012,DROUGHT,1,0,0,0,0,0,0,0
2012,FIRE,2,0,0,1,52,52,0,0
2012,FLOOD,3,3,54,360,5862,5942,1860652.461,2917690240
2012,MARINE ACCIDENT,6,218,0,0,0,113,0,0
2012,OTHER,11,0,0,0,0,12,9456.25,17000000
2012,RAINS,4,0,0,20,406,1270,665950.7385,1048055435
2012,Strong winds,2,0,0,41,73,205,13942.7428,21914000
2012,WINDSTORM,1,0,0,1,0,0,0,0
2013,DROUGHT,1,0,0,0,0,0,0,0
2013,FIRE,4,0,30,4,4,5,66154.6748,104616500
2013,FLOOD,12,0,36,4092,2067,4349,1134996.301,1802160000
2013,HAILSTORM,1,0,0,0,5,5,0,0
2013,HEAVY RAINFALL & STRONG WINDS,1,0,0,142,720,720,0,0
