Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1984,Landslide,14,0,6,368,0,2216,0,0
1984,Nuclear accidents,1,0,0,0,0,0,0,0
1984,Rockslide,14,0,0,384,0,2762,0,0
1985,Avalanche,3,0,0,4,0,261,0,0
1985,Fire,1,0,0,20,0,0,0,0
1985,Flood,5,0,0,78,0,560,0,0
1985,Forest fire,76,14,0,0,0,0,0,836813636
1985,Landslide,32,0,19,842,0,5937,0,0
1985,Rockslide,11,0,15,311,0,1587,0,0
1986,Earthquake,3,9,0,10013,0,0,0,0
1986,Fire,1,0,0,11,0,0,0,0
1986,Flood,7,0,0,123,0,1122,0,0
1986,Forest fire,39,0,0,0,0,0,0,493307470
1986,Landslide,19,0,7,456,0,2368,0,0
1986,Nuclear accidents,1,0,0,0,0,0,0,0
1986,Rockslide,9,0,0,116,0,675,0,0
1987,Avalanche,9,18,1,0,0,1213,0,0
1987,Fire,1,0,0,76,0,0,0,0
1987,Flood,14,0,0,435,0,3192,0,0
1987,Forest fire,64,0,0,0,0,0,0,9294129948
1987,Landslide,72,3,44,1686,0,9896,0,0
1987,Nuclear accidents,1,0,0,0,0,0,0,0
1987,Rockslide,11,0,4,220,0,1635,0,0
1987,Train accident,1,10,0,0,0,0,0,0
1988,Avalanche,17,4,4,195,0,2800,0,0
1988,Earthquake,2,4,0,3495,0,0,0,0
1988,Fire,5,0,35,72,0,18,0,0
1988,Flood,19,4,0,307,0,2493,0,0
1988,Forest fire,82,0,0,0,0,0,0,13290403988
1988,Heavy rain,14,0,0,1201,0,0,0,0
1988,Landslide,150,66,50,2904,0,12795,0,0
1988,Nuclear accidents,1,0,0,0,0,0,0,0
1988,Rockslide,30,4,1,469,0,2904,0,0
1989,Avalanche,2,0,0,0,0,198,0,0
1989,Fire,7,0,0,77,0,0,0,0
1989,Flood,10,0,0,364,0,2142,0,0
1989,Forest fire,89,0,0,0,0,0,0,29880332489
1989,Heavy rain,1,0,0,10,0,0,0,0
1989,Landslide,93,0,29,2238,0,15091,0,0
1989,Rockslide,13,0,0,236,0,1383,0,0
1990,Avalanche,7,2,2,27,0,991,0,0
1990,Fire,22,0,0,227,0,0,0,0
1990,Flood,10,1,4,208,0,1796,0,0
1990,Forest fire,77,0,0,0,0,0,0,20366678621
1990,Heavy rain,2,0,0,13,0,0,0,0
1990,Landslide,47,0,16,1095,0,6711,0,0
1990,Mining accidents,1,68,0,0,0,0,0,0
1990,Rockslide,12,0,0,219,0,1324,0,0
1990,Train accident,1,2,0,0,0,0,0,0
1991,Avalanche,3,0,0,10,0,349,0,0
1991,Fire,21,0,0,203,0,263,0,0
1991,Flood,5,0,11,46,0,348,0,0
1991,Forest fire,44,0,0,0,0,0,0,19843558418
1991,Heavy rain,5,0,0,149,0,0,0,0
1991,Landslide,17,0,15,262,0,1530,0,0
1991,Rockslide,7,0,0,98,0,443,0,0
1991,Storm,1,0,0,5,0,0,0,0
1992,Avalanche,29,31,16,334,0,4605,0,0
1992,Earthquake,1,653,0,31194,0,0,0,3E+12
1992,Fire,13,1,0,301,0,0,0,0
1992,Flood,10,0,3,478,0,3301,0,0
1992,Forest fire,85,0,0,0,0,0,0,73974647060
1992,Heavy rain,2,0,0,93,0,0,0,0
1992,Landslide,30,0,2,598,0,3759,0,0
1992,Mining accidents,1,263,0,0,0,0,0,0
1992,Other,1,31,0,0,0,0,0,0
1992,Rockslide,18,0,0,374,0,2045,0,0
1992,Storm,1,0,0,10,0,0,0,0
1993,Avalanche,24,63,81,100,0,2659,0,0
1993,Fire,11,0,0,131,0,0,0,0
1993,Flood,8,0,0,191,0,1311,0,0
1993,Forest fire,92,0,0,0,0,0,0,51773673938
1993,Heavy rain,1,0,0,11,0,0,0,0
1993,Landslide,43,0,28,487,0,5509,0,0
1993,Nuclear accidents,1,0,0,0,0,0,0,0
1993,Rockslide,10,0,0,139,0,933,0,0
1994,Avalanche,1,0,0,0,0,0,0,0
1994,Aviation accident,1,57,0,0,0,0,0,0
1994,Fire,14,0,0,146,0,0,0,0
1994,Flood,2,0,0,17,0,152,0,0
1994,Forest fire,168,0,0,0,0,0,0,4.87906E+12
1994,Heavy rain,1,0,0,0,0,0,0,0
1994,Landslide,7,0,2,60,0,319,0,0
1994,Rockslide,10,0,0,131,0,630,0,0
1994,Train accident,1,0,0,0,0,0,0,0
1995,Avalanche,2,0,3,13,0,266,0,0
